RT [min] (Points),Molecular Weight (Points)
3.019,328.10041
3.065,216.02466
3.073,400.15803
3.114,298.12628
3.125,648.21182
3.131,716.19927
3.138,332.07422
3.176,406.05552
3.386,296.11062
3.399,321.09938
3.445,662.19117
3.513,298.12623
3.669,406.14746
3.808,313.10216
3.859,298.12629
3.895,406.05552
3.984,330.09497
3.985,398.08244
4.21,296.01152
4.246,310.12594
4.254,305.9677
4.256,207.04519
4.267,674.04597
4.275,478.03048
4.301,456.04839
4.307,274.02991
4.312,206.04193
4.314,144.04245
4.315,174.01644
4.316,112.01612
4.323,434.06614
4.325,476.99594
4.328,662.09039
4.328,884.09718
4.329,675.04439
4.331,656.07338
4.332,646.19627
4.337,890.11418
4.345,906.07979
4.347,912.09572
4.348,697.02614
4.372,296.01162
4.441,349.10054
4.497,348.10529
4.708,491.14638
4.803,778.23845
4.843,288.96514
4.857,478.0313
4.857,305.96774
4.859,206.04203
4.861,456.04916
4.863,112.01611
4.864,434.06629
4.864,402.04088
4.864,174.0165
4.865,684.07395
4.867,662.09217
4.87,656.07545
4.875,412.0851
4.876,469.00303
4.877,678.05739
4.879,274.02996
4.902,296.01164
4.92,346.08969
4.943,288.96519
4.948,780.25411
5.246,784.14941
5.25,806.13133
5.314,332.07421
5.393,642.18015
5.539,305.11088
5.688,307.12656
5.688,300.06347
5.691,548.11458
5.691,480.12695
5.693,300.08421
5.693,368.07174
5.773,316.07933
6.235,307.12656
6.27,305.11088
6.404,316.07938
6.409,384.06681
6.57,349.1007
6.641,459.07539
6.643,437.09334
6.644,369.10576
6.699,305.11088
6.7,295.08236
6.98,610.13261
6.99,219.11069
7.103,406.1474
7.105,390.1161
7.277,626.18519
7.283,280.1158
7.588,566.14625
7.588,452.15318
7.671,332.0742
7.805,452.15318
7.805,634.1338
7.808,566.14625
7.829,300.06329
7.83,480.12699
7.831,548.11467
7.963,290.10008
8.072,154.02668
8.113,421.15843
8.149,610.13228
8.327,330.09496
8.328,367.0901
8.329,398.08244
8.51,368.07179
8.512,300.08445
8.549,306.07378
8.568,534.15895
8.572,602.14641
8.805,626.18516
8.817,220.05832
8.959,492.18449
8.964,505.14098
8.965,294.09526
8.966,391.14783
8.974,375.11394
8.98,294.13147
8.981,307.12656
8.99,297.09779
9.165,326.15745
9.186,362.06354
9.188,480.09054
9.19,502.07267
9.191,570.05998
9.191,344.0529
9.267,898.19624
9.411,536.13569
9.414,422.1424
9.427,468.14808
9.468,642.18017
9.472,437.15332
9.494,496.1219
9.518,914.19115
9.576,536.13578
9.578,422.14246
9.687,594.13779
9.789,192.06343
9.791,354.09485
9.791,376.07685
9.908,330.09493
9.955,326.15751
9.97,288.0457
9.97,220.05835
9.971,144.04245
9.975,307.12666
10.001,914.19111
10.026,602.1463
10.027,580.16427
10.027,372.10547
10.06,642.18011
10.097,451.16901
10.188,610.13257
10.193,412.19443
10.236,916.2491
10.243,504.14821
10.271,294.1315
10.297,473.16608
10.32,458.2
10.382,398.17882
10.385,898.21748
10.435,594.18009
10.534,372.10546
10.535,394.08755
10.565,496.12181
10.587,439.1691
10.587,458.20006
10.634,162.03182
10.634,342.09487
10.634,410.08243
10.634,134.03687
10.676,594.13766
10.707,438.11632
10.721,368.16821
10.926,368.07168
10.926,300.08442
10.93,452.13211
10.931,520.11964
10.972,580.09944
10.977,512.11197
10.983,506.09507
10.983,910.23085
10.985,479.0605
10.985,398.11884
10.999,422.14238
11.035,476.06233
11.036,214.08412
11.037,412.11357
11.039,376.13695
11.04,494.07288
11.041,774.25578
11.069,1004.30069
11.072,628.16432
11.08,692.21681
11.109,398.11887
11.11,445.12776
11.11,479.06031
11.111,780.26924
11.112,506.09508
11.114,316.07936
11.124,512.11197
11.132,580.09947
11.149,450.13734
11.155,518.12495
11.196,328.11568
11.218,396.10315
11.261,358.12619
11.27,444.19957
11.271,512.18712
11.291,509.18287
11.294,576.16697
11.312,512.11449
11.316,444.12682
11.383,436.15808
11.414,368.1681
11.42,483.10942
11.431,578.14281
11.433,600.1248
11.449,710.16755
11.45,482.1062
11.463,642.18019
11.469,626.1851
11.556,659.16374
11.568,316.07936
11.579,452.15311
11.596,548.11461
11.597,480.12696
11.597,616.10182
11.609,374.06126
11.609,306.07391
11.609,262.08414
11.612,360.08198
11.613,338.10008
11.614,644.17464
11.666,394.18385
11.698,294.13145
11.726,650.14622
11.728,628.16435
11.735,398.11891
11.736,376.13682
11.737,774.25627
11.737,506.09512
11.738,580.09947
11.738,512.11217
11.75,482.10617
11.764,582.17992
11.773,782.35786
11.797,504.08821
11.798,452.22568
11.801,520.21339
11.828,344.11047
11.847,394.18385
11.849,402.11606
11.916,304.05819
11.938,968.24123
11.944,900.25395
11.96,448.10068
11.976,712.1421
11.982,644.15449
11.982,578.14261
12.001,576.16676
12.015,650.14625
12.024,626.11537
12.026,508.17962
12.042,974.29066
12.077,342.09482
12.082,996.27238
12.094,394.18385
12.152,326.10001
12.156,394.08751
12.157,462.0751
12.204,448.10068
12.208,458.1038
12.209,390.11613
12.212,330.09494
12.214,878.20961
12.214,856.2278
12.246,488.0933
12.248,466.11127
